iter	Passed	Remaining
621	196793	119594
622	197050	119242
623	197339	118909
624	197569	118541
625	197881	118222
626	198169	117890
627	198385	117515
628	198716	117207
629	198983	116863
630	199383	116596
631	199671	116264
632	199912	115905
633	200207	115576
634	200528	115264
635	200763	114902
636	201018	114551
637	201356	114249
638	201647	113919
639	201908	113573
640	202245	113270
641	202503	112922
642	202778	112584
643	203056	112248
644	203333	111912
645	203594	111567
646	203864	111227
647	204114	110876
648	204355	110521
649	204600	110169
650	204937	109866
651	205208	109528
652	205464	109182
653	205765	108860
654	206066	108538
655	206310	108186
656	206609	107864
657	206841	107507
658	207112	107170
659	207463	106875
660	207778	106561
661	208138	106269
662	208361	105909
663	208759	105637
664	209015	105293
665	209266	104947
666	209630	104658
667	209924	104333
668	210199	103999
669	210480	103669
670	210844	103380
671	211152	103062
672	211447	102739
673	211758	102423
674	212084	102114
675	212448	101824
676	212761	101509
677	213055	101185
678	213309	100843
679	213581	100508
680	213802	100151
681	214115	99836
682	214446	99530
683	214704	99190
684	214977	98858
685	215306	98551
686	215615	98235
687	215826	97874
688	216097	97541
689	216360	97205
690	216586	96852
691	216836	96510
692	217150	96198
693	217391	95852
694	217748	95558
695	218045	95238
696	218307	94902
697	218586	94574
698	218853	94241
699	219101	93900
700	219351	93560
701	219626	93231
702	220005	92947
703	220338	92642
704	220555	92288
705	220821	91956
706	221026	91599
707	221292	91267
708	221580	90944
709	221866	90621
710	222161	90301
711	222483	89993
712	222774	89672
713	223082	89358
714	223346	89026
715	223561	88675
716	223825	88343
717	224140	88033
718	224434	87713
719	224719	87390
720	224975	87057
721	225256	86732
722	225463	86381
723	225767	86066
724	226086	85756
725	226473	85473
726	226737	85143
727	227051	84832
728	227343	84513
729	227651	84200
730	227969	83890
731	228219	83555
732	228506	83235
733	228740	82894
734	229032	82576
735	229313	82253
736	229638	81947
737	229892	81614
738	230166	81290
739	230393	80949
740	230634	80613
741	230937	80299
742	231201	79971
743	231465	79644
744	231743	79321
745	232046	79007
746	232290	78673
747	232547	78344
748	232830	78024
749	233128	77709
750	233418	77391
751	233731	77081
752	234006	76759
753	234293	76440
754	234533	76107
755	234783	75776
756	235049	75451
757	235258	75108
758	235552	74793
759	235794	74461
760	236064	74138
761	236379	73829
762	236595	73490
763	236868	73168
764	237069	72825
765	237345	72505
766	237618	72183
767	237857	71852
768	238078	71516
769	238346	71194
770	238658	70885
771	238969	70576
772	239268	70263
773	239529	69940
774	239790	69616
775	240059	69295
776	240356	68982
777	240657	68671
778	240938	68353
